"Live", "Live"
"Test", "Test"
"API key is required", "Clef d'API requise"
"API key", "Clef d'API"
"Test API key", "Clef d'API Test"
"Live API key", "Clef d'API Live"
"First instalment captured successfully", "Première échéance prélevée avec succès"
"Alma Installments", "Alma - Paiement en plusieurs fois"
"General configuration", "Configuration générale"
"Enabled", "Activer"
"Sort order", "Position"
"Enable logging", "Activer les logs"
"Excluded product types", "Types de produits exclus"
"Excluded products message", "Message d'exclusion de produits"
"API configuration", "Configuration de l'API"
"API mode", "Mode de l'API"
"Cart display", "Configuration panier"
"Display cart eligibility message", "Afficher l'éligibilité dans le panier"
"Eligibility message", "Message d'éligibilité"
"Non-eligibility message", "Message de non-éligibilité"
"Checkout display", "Configuration de l'option de paiement"
"Title", "Titre"
"Description", "Description"
"Logs are stored in <i>var/log/alma.log</i>", "Les logs se trouvent dans <i>var/log/alma.log</i>"
"List/explain which products aren't eligible to monthly payments", "Listez/expliquez quels produits ne sont pas éligibles au paiement en plusieurs fois"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>", "Vous trouverez vos clefs d'API sur <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">votre dashboard Alma</a>"
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments", "Un message peut être affiché dans le panier et le minicart pour indiquer l'éligibilité de l'achat au paiement en plusieurs fois"
"Virtual and downloadable products aren't eligible", "Les produits virtuels/téléchargeables ne sont pas éligibles"
"Eligible for monthly payments", "Eligible au paiement en plusieurs fois"
"Not eligible for monthly payments", "Non éligible au paiement en plusieurs fois"
"Monthly Payments with Alma", "Payez en plusieurs fois avec Alma"
"Pay in 3 monthly payments with your credit card.", "Payez en 3 fois avec votre carte bancaire"
