"Live","Live"
"Test","Test"
"API key is required:","API-Schlüssel erforderlich:"
"live API key is invalid. Please double-check and retry.","Live-API-Schlüssel ungültig. Bitte überprüfen und erneut versuchen."
"test API key is invalid. Please double-check and retry.","Test-API-Schlüssel ungültig. Bitte überprüfen und erneut versuchen."
"API key","API-Schlüssel"
"Test API key","Test-API-Schlüssel"
"Live API key","Live-API-Schlüssel"
"First instalment captured successfully","Erste Fälligkeit erfolgreich abgebucht"
"Alma Installments","Alma – Zahlung in Raten"
"General configuration","Allgemeine Einstellungen"
"Enabled","Aktivieren"
"Sort order","Position"
"Enable logging","Die Logs aktivieren"
"Excluded product types","Ausgeschlossene Produkttypen"
"Excluded products message","Produktausschlussmeldung"
"API configuration","API-Einstellungen"
"API mode","API-Modus"
"Cart display","Einstellungen Warenkorb"
"Checkout display","Einstellungen der Zahlungsoption"
"Title","Titel"
"Description","Beschreibung"
"Logs are stored in <i>var/log/alma.log</i>","Die Logs finden sich in <i>var/log/alma.log</i>"
"List/explain which products aren't eligible to monthly payments","Auflisten/Erklären, welche Produkte nicht für die Bezahlung in mehreren Raten infrage kommen."
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","Ihre API-Schlüssel finden Sie in <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">Ihrem Alma-Dashboard</a>"
"A widget can be displayed in the cart to indicate the order eligibility for monthly payments","Ein Widget kann im Einkaufswagen angezeigt werden, um die Berechtigung für monatliche Zahlungen anzuzeigen"
"Virtual and downloadable products aren't eligible","Virtuelle Produkte/Downloads kommen nicht infrage."
"Monthly Payments with Alma","Mit Alma in Raten bezahlen"
"Pay in 3 monthly payments with your credit card.","Bezahlen Sie mit Ihrer Kreditkarte in 3 Raten"
"Error while processing your order: %s","Fehler bei der Bearbeitung Ihres Auftrags: %s"
"There was an error processing your order. Please try again later or contact us if the problem persists","Bei der Bearbeitung Ihres Auftrags ist ein Fehler aufgetreten. Bitte versuchen Sie es noch einmal oder kontaktieren Sie uns, falls das Problem weiterhin besteht."
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Bei der Validierung Ihrer Zahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es noch einmal oder kontaktieren Sie uns, falls das Problem weiterhin besteht."
"Pay in %d installments","In %d Raten bezahlen"
"Installments plans","Zahlungspläne"
"<b>2-installment payments</b>","<b>Zahlung in 2 Raten</b>"
"<b>3-installment payments</b>","<b>Zahlung in 3 Raten</b>"
"<b>4-installment payments</b>","<b>Zahlung in 4 Raten</b>"
"Enable","Aktivieren"
"Yes","Ja"
"No","Nein"
"Minimum amount (€)","Mindestbetrag (€)"
"Maximum amount (€)","Höchstbetrag (€)"
"(Maximum amount: %s)","(Höchstbetrag: %s)"
"(Minimum amount: %s)","(Mindestbetrag: %s)"
"Minimum purchase amount to activate this plan","Mindestkaufbetrag zur Aktivierung dieses Zahlungsplans"
"Maximum purchase amount to activate this plan","Maximaler Kaufbetrag zur Aktivierung dieses Zahlungsplans"
"Your order has been canceled","Ihr Auftrag wurde storniert"
"Payment ID","Transaktionsnummer"
"Installments count","Anzahl der Fälligkeiten"
"Paid amount (%1) does not match due amount (%2) for order %3","Der bezahlte Betrag (%1) entspricht nicht dem fälligen Betrag (%2) für Auftrag %3"
"Payment state incorrect (%s & %s) for order %s","Falscher Zahlungsstatus (%s & %s) für Auftrag %s"
"Order canceled by customer","Auftrag vom Kunden storniert"
"Warning %s custom Min display amount is incorrect","Warnung %s benutzerdefinierter Min-Anzeigebetrag ist falsch"
"Warning %s custom Max display amount is incorrect","Warnung %s benutzerdefinierte maximale Anzeigemenge ist falsch"
"Pay in %d installments","Zahlung in %d Raten"
"Pay in %d days","Bezahlung in %d Tagen"
"Including fees: %s","Davon Gebühren: %s"
"Your cart total : ","Ihr Warenkorb insgesamt : "
"Credit cost : ","Kreditkosten : "
"Total : ","Gesamt: "
"Payment plans configuration","Konfiguration der Zahlungsweise"
"Product page display","Anzeige der Produktseite"
"A widget can be displayed on product pages to indicate eligible payments plans","Ein Widget kann auf den Produktseiten angezeigt werden, um die in Frage kommenden Zahlungspläne anzuzeigen"
"Widget custom position","Benutzerdefinierte Position des Widgets"
"Id or class name for the custom widget container. (ex: add-to-box or qty)","Id oder Klassenname für den benutzerdefinierten Widget-Container. (z. B.: add-to-box oder qty)"
"Display widget on cart page","Widget auf der Warenkorb-Seite anzeigen"
"Annual interest rate : ","Jährlicher Zinssatz : "
