"Live","Live"
"Test","Test"
"API key is required:","Chiave API richiesta:"
"live API key is invalid. Please double-check and retry.","Chiave API Live non valida. Si prega di verificarla e di riprovare."
"test API key is invalid. Please double-check and retry.","Chiave API Test non valida. Si prega di verificarla e di riprovare."
"API key","Chiave API"
"Test API key","Chiave API Test"
"Live API key","Chiave API Live"
"First instalment captured successfully","Prima rata prelevata con successo"
"Alma Installments","Alma - Pagamento a rate"
"General configuration","Configurazione generale"
"Enabled","Attiva"
"Sort order","Posizione"
"Enable logging","Attiva i log"
"Excluded product types","Tipi di prodotti esclusi"
"Excluded products message","Messaggio di esclusione dei prodotti"
"API configuration","Configurazione dell'API"
"API mode","Modalità dell'API"
"Cart display","Configurazione carrello"
"Display cart eligibility message","Visualizzare l'idoneità nel carrello"
"Eligibility message","Messaggio d'idoneità"
"Non-eligibility message","Messaggio di mancata idoneità"
"Checkout display","Configurazione dell'opzione di pagamento"
"Title","Titolo"
"Description","Descrizione"
"Logs are stored in <i>var/log/alma.log</i>","I log si trovano sotto <i>var/log/alma.log</i>"
"List/explain which products aren't eligible to monthly payments","Elencare/descrivere quali prodotti non sono idonei al pagamento rateale"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","Troverai le tue chiavi API sulla <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">tua dashboard Alma</a>"
"A message can be displayed in the cart and minicart to indicate the order eligibility for monthly payments","Può essere visualizzato un messaggio nel carrello e sul minicart per indicare l’idoneità dell'acquisto al pagamento rateale"
"Virtual and downloadable products aren't eligible","I prodotti virtuali/scaricabili non sono idonei"
"Eligible for monthly payments","Idoneo al pagamento a rate"
"Not eligible for monthly payments","Non idoneo al pagamento a rate"
"Monthly Payments with Alma","Paga in più rate con Alma"
"Pay in 3 monthly payments with your credit card.","Paga in 3 rate con la tua carta bancaria"
"Error while processing your order: %s","Errore nell’elaborazione del tuo ordine: %s"
"There was an error processing your order. Please try again later or contact us if the problem persists","Si è verificato un errore al momento dell’elaborazione dell’ordine. Si prega di riprovare più tardi o di contattarci qualora il problema dovesse persistere."
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Si è verificato un errore al momento della convalida del pagamento. Si prega di riprovare più tardi o di contattarci qualora il problema dovesse persistere."
"Pay in %d installments","Pagare in %d rate"
"Installments plans","Scadenzario"
"<b>2-installment payments</b>","<b>Pagamento in 2 rate</b>"
"<b>3-installment payments</b>","<b>Pagamento in 3 rate</b>"
"<b>4-installment payments</b>","<b>Pagamento in 4 rate</b>"
"Enable","Attiva"
"Yes","Sì"
"No","No"
"Minimum amount (€)","Somma minima (€)"
"Maximum amount (€)","Somma massima (€)"
"(Maximum amount: %s)","(Somma massima: %s)"
"(Minimum amount: %s)","(Somma minima: %s)"
"Minimum purchase amount to activate this plan","Montante d’acquisto minimo per attivare questo scadenzario"
"Maximum purchase amount to activate this plan","Montante d’acquisto massimo per attivare questo scadenzario"
"Your order has been canceled","Il Suo ordine è stato annullato"
"Payment ID","Id della transazione"
"Installments count","Numero di rate"
"Paid amount (%1) does not match due amount (%2) for order %3","La somma pagata (%1) non corrisponde all’ammontare dovuto (%2) per l’ordine %3"
"Payment state incorrect (%s & %s) for order %s","Stato del pagamento errato (%s & %s) per l’ordine %s"
"Order canceled by customer","Ordine annullato dal cliente"
