"Live","Live"
"Test","Test"
"API key is required:","API-sleutel vereist:"
"live API key is invalid. Please double-check and retry.","API-sleutel Live ongeldig. Controleer hem en probeer opnieuw."
"test API key is invalid. Please double-check and retry.","API-sleutel Test ongeldig. Controleer hem en probeer opnieuw."
"API key","API-sleutel"
"Test API key","API-sleutel  Test"
"Live API key","API-sleutel Live"
"First instalment captured successfully","Eerste termijn afgeschreven"
"Alma Installments","Alma - gespreid betalen"
"General configuration","Algemene configuratie"
"Enabled","Activeren"
"Sort order","Positie"
"Enable logging","Logs activeren"
"Excluded product types","Uitgesloten producttypes"
"Excluded products message","Bericht uitsluiting producten"
"API configuration","Configuratie van API"
"API mode","Modus van API"
"Cart display","Configuratie winkelmand"
"Checkout display","Configuratie van de betalingsoptie"
"Title","Titel"
"Description","Beschrijving"
"Logs are stored in <i>var/log/alma.log</i>","De logs staan in <i>var/log/alma.log</i>"
"List/explain which products aren't eligible to monthly payments","Benoem/leg uit welke producten niet in aanmerking komen voor gespreid betalen"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","U vindt uw API-sleutels in <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">uw dashboard van Alma</a>"
"A widget can be displayed in the cart to indicate the order eligibility for monthly payments","Een widget kan worden weergegeven in de winkelwagen om aan te geven of de bestelling in aanmerking komt voor maandelijkse betalingen"
"Virtual and downloadable products aren't eligible","Virtuele/downloadbare producten komen niet in aanmerking"
"Alma monthly and deferred payments","Alma maandelijkse en uitgestelde betalingen"
"Pay in 3 monthly payments with your credit card.","Betaal in 3 keer met uw betaalkaart"
"Error while processing your order: %s","Fout bij verwerking van uw bestelling: %s"
"There was an error processing your order. Please try again later or contact us if the problem persists","Er is iets fout gegaan bij de verwerking van uw bestelling. Probeert u het opnieuw of neem contact met ons op als het probleem blijft bestaan."
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Er is iets fout gegaan bij de bevestiging van uw betaling. Probeert u het opnieuw of neem contact met ons op als het probleem blijft bestaan."
"Pay in %d installments","Betalen in %d keer"
"Installments plans","Termijnen"
"<b>2-installment payments</b>","<b>Betalen in 2 keer</b>"
"<b>3-installment payments</b>","<b>Betalen in 3 keer</b>"
"<b>4-installment payments</b>","<b>Betalen in 4 keer</b>"
"Enable","Activeren"
"Yes","Ja"
"No","Nee"
"Minimum amount (€)","Minimum bedrag (€)"
"Maximum amount (€)","Maximum bedrag (€)"
"(Maximum amount: %s)","(Maximum bedrag: %s)"
"(Minimum amount: %s)","(Minimum bedrag: %s)"
"Minimum purchase amount to activate this plan","Minimum aankoopbedrag om dit schema te activeren"
"Maximum purchase amount to activate this plan","Maximum aankoopbedrag om dit schema te activeren"
"Your order has been canceled","Uw bestelling is geannuleerd"
"Payment ID","Transactie-id"
"Installments count","Aantal termijnen"
"Paid amount (%1) does not match due amount (%2) for order %3","Het betaalde bedrag (%1) komt niet overeen met het verschuldigde bedrag (%2) voor bestelling %3"
"Payment state incorrect (%s & %s) for order %s","Onjuiste status van betaling (%s en %s) voor bestelling %s"
"Order canceled by customer","Bestelling geannuleerd door de klant"
"Warning %s custom Min display amount is incorrect","Waarschuwing %s aangepaste Min weergave bedrag is onjuist"
"Warning %s custom Max display amount is incorrect","Waarschuwing %s aangepaste Max weergave bedrag is onjuist"
"Pay in %d installments","Betalen in %d keer"
"Pay in %d days","Betalen in %d dagen"
"Including fees: %s","Inclusief kosten: %s"
"Your cart total : ","Uw winkelwagen totaal : "
"Credit cost : ","Kredietkosten: "
"Total : ","Totaal : "
"Payment plans configuration","Configuratie van de betalingsmethode"
"Product page display","Weergave productpagina"
"A widget can be displayed on product pages to indicate eligible payments plans","Een widget kan worden weergegeven op productpagina's om aan te geven welke betalingsplannen in aanmerking komen"
"Widget custom position","Widget aangepaste positie"
"Id or class name for the custom widget container. (ex: add-to-box or qty)","Id of class naam voor de aangepaste widget container. (bijv. add-to-box of qty)"
"Display widget on cart page","Widget weergeven op winkelwagen pagina"
"Annual interest rate : ","Jaarlijkse rentevoet : "
