"Live","Live"
"Test","Teste"
"API key is required:","A chave API é requerida:"
"live API key is invalid. Please double-check and retry.","a chave API live não é válida. Por favor, verifique e tente novamente."
"test API key is invalid. Please double-check and retry.","a chave API de teste não é válida. Por favor, verifique e tente novamente."
"API key","Chave API"
"Test API key","Chave API de teste"
"Live API key","Chave API live"
"First instalment captured successfully","A primeira prestação foi recebida com sucesso"
"Alma Installments","Prestações da Alma"
"General configuration","Configuração geral"
"Enabled","Permitido"
"Sort order","Ordenar encomendas"
"Enable logging","Permitir o acesso"
"Excluded product types","Tipos de produtos excluídos"
"Excluded products message","Mensagem de produtos excluídos"
"API configuration","Configuração da API"
"API mode","Modo API"
"Cart display","Exibir o cesto"
"Checkout display","Exibir o checkout"
"Title","Título"
"Description","Descrição"
"Logs are stored in <i>var/log/alma.log</i>","Os acessos (logs) são armazenados em <i>var/log/alma.log</i>"
"List/explain which products aren't eligible to monthly payments","Liste/explique quais são os produtos que não são elegíveis para pagamentos mensais"
"You can find your API keys on <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">your Alma dashboard</a>","Pode encontrar as suas chaves API no <a href=""https://dashboard.getalma.eu/security"" target=""_blank"">seu painel de controlo Alma</a>"
"A widget can be displayed in the cart to indicate the order eligibility for monthly payments","Um widget pode ser afixado no carrinho para indicar a elegibilidade da encomenda para pagamentos mensais"
"Virtual and downloadable products aren't eligible","Os produtos virtuais e para descarregamento não são elegíveis"
"Monthly Payments with Alma","Pagamentos mensais através da Alma"
"Pay in 3 monthly payments with your credit card.","Pague em 3 pagamentos mensais com o seu cartão de crédito."
"Error while processing your order: %s","Ocorreu um erro no processamento da sua encomenda: %s"
"There was an error processing your order. Please try again later or contact us if the problem persists","Ocorreu um erro no processamento da sua encomenda. Por favor, tente novamente mais tarde ou contate-nos se o problema persistir."
"There was an error when validating your payment. Please try again or contact us if the problem persists.","Ocorreu um erro na validação do seu pagamento. Por favor, tente novamente mais tarde ou contate-nos se o problema persistir."
"Pay in %d installments","Pagar em %d prestações"
"Installments plans","Planos de prestações"
"<b>2-installment payments</b>","<b>Pagamentos de 2-prestações</b>"
"<b>3-installment payments</b>","<b>Pagamentos de 3-prestações</b>"
"<b>4-installment payments</b>","<b>Pagamentos de 4-prestações</b>"
"Enable","Permitir"
"Yes","Sim"
"No","Não"
"Minimum amount (€)","Montante mínimo (€)"
"Maximum amount (€)","Montante máximo (€)"
"(Maximum amount: %s)","(Montante máximo: %s)"
"(Minimum amount: %s)","(Montante mínimo: %s)"
"Minimum purchase amount to activate this plan","Montante mínimo de compra para ativar este plano"
"Maximum purchase amount to activate this plan","Montante máximo de compra para ativar este plano"
"Your order has been canceled","A sua encomenda foi anulada"
"Payment ID","Identificação do pagamento"
"Installments count","Contagem das prestações"
"Paid amount (%1) does not match due amount (%2) for order %3","O montante pago (%1) não corresponde ao montante devido (%2) para a encomenda %3"
"Payment state incorrect (%s & %s) for order %s","Estádio de pagamento incorreto (%s & %s) para a encomenda %s"
"Order canceled by customer","Encomenda anulada pelo cliente"
"Warning %s custom Min display amount is incorrect","Aviso %s quantidade de visualização Min personalizada está incorrecta"
"Warning %s custom Max display amount is incorrect","Aviso %s a quantidade máxima de visualização personalizada está incorrecta"
"Pay in %d installments","Pagar em %d parcelas"
"Pay in %d days","Pagar em %d dias"
"Including fees: %s","Incluindo taxas: %s"
"Your cart total : ","O total do seu carrinho : "
"Credit cost : ","Custo do crédito : "
"Total : ","Total : "
"Payment plans configuration","Configuração de planos de pagamento"
"Product page display","Apresentação da página do produto"
"A widget can be displayed on product pages to indicate eligible payments plans","Um widget pode ser exibido nas páginas de produtos para indicar planos de pagamentos elegíveis"
"Widget custom position","Posição personalizada Widget"
"Id or class name for the custom widget container. (ex: add-to-box or qty)","Id ou nome de classe para o contentor de widget personalizado. (ex: add-to-box ou qty)"
"Display widget on cart page","Mostrar widget na página do carrinho"
